Subject	stim_Pho	Home	Guanhua	Geo	Sex	Age	Num_Chinese	Num_ProfLangs	English	stim_order	ND	NW	Reps	WE	RE	SN	mEdit	k	NC	M	CC	hop1	hop2	hop3	hop4	hop5	hop6	hop7	I
2	kuo4	Guangdong	No	South	F	25	3	3	8	1	7	0	1	5.66	0.708	0.375	2.18	2.25	1	-0.108	0.458	4	1	1	1	0	0	0	0
2	tu2	Guangdong	No	South	F	25	3	3	8	2	12	0	0	7.33	0.778	0.167	1.69	5.08	2	0.422	0.637	3	8	0	0	0	0	0	1
2	an3	Guangdong	No	South	F	25	3	3	8	3	17	0	0	10.75	0.702	0	2.16	2.11	6	0.067	0.583	2	3	0	0	0	0	0	12
2	iE1	Guangdong	No	South	F	25	3	3	8	4	8	1	1	3.81	0.249	0	3.06	0.67	6	0	0	1	0	0	0	0	0	0	7
2	uaI4	Guangdong	No	South	F	25	3	3	8	5	11	0	1	8.96	0.746	0.083	1.86	2.67	3	0.177	0.564	5	3	0	0	0	0	0	3
2	c@N1	Guangdong	No	South	F	25	3	3	8	6	11	0	0	5.95	0.488	0	2.89	0.5	9	-0.25	0	1	1	0	0	0	0	0	9
3	uaI4	Jiangxi	No	South	F	19	2	1	8	1	12	2	0	10.64	0.909	0.143	1.6	5.23	1	0.311	0.538	8	3	1	0	0	0	0	0
3	tu2	Jiangxi	No	South	F	19	2	1	8	2	22	0	0	12.5	0.841	0.5	1.66	7.39	1	0.177	0.658	3	15	4	0	0	0	0	0
3	kuo4	Jiangxi	No	South	F	19	2	1	8	3	12	0	2	11.32	0.927	0.071	1.27	8.77	1	-0.186	0.818	10	2	0	0	0	0	0	0
3	iE1	Jiangxi	No	South	F	19	2	1	8	4	11	0	1	6.8	0.887	0.25	1.92	3.5	1	-0.285	0.561	3	4	4	0	0	0	0	0
3	an3	Jiangxi	No	South	F	19	2	1	8	5	31	0	0	23.19	0.913	0.645	1.74	9.38	2	0.473	0.599	9	20	1	0	0	0	0	1
3	c@N1	Jiangxi	No	South	F	19	2	1	8	6	11	2	2	5.95	0.752	0.333	2.18	1.5	4	-0.417	0	1	1	0	0	0	0	0	9
4	iE1	Jilin	Yes	North	F	18	1	1	5	1	13	0	0	10.62	0.895	0.692	1.63	4.86	1	0.087	0.44	6	7	0	0	0	0	0	0
4	uaI4	Jilin	Yes	North	F	18	1	1	5	2	28	6	0	19.88	0.901	0.765	1.99	6.69	1	0.405	0.466	8	16	4	0	0	0	0	0
4	tu2	Jilin	Yes	North	F	18	1	1	5	3	31	4	0	20.45	0.871	0.771	2.06	6.88	1	0.447	0.39	8	22	1	0	0	0	0	0
4	an3	Jilin	Yes	North	F	18	1	1	5	4	31	3	0	23.04	0.881	0.735	1.91	7.88	2	0.129	0.557	10	18	0	0	0	0	0	3
4	c@N1	Jilin	Yes	North	F	18	1	1	5	5	32	7	4	24.86	0.921	0.767	1.69	9.88	1	0.445	0.591	11	21	0	0	0	0	0	0
4	kuo4	Jilin	Yes	North	F	18	1	1	5	6	32	9	0	24.63	0.907	0.756	2.01	8.55	2	0.158	0.617	11	18	0	0	0	0	0	3
5	an3	Inner Mongolia	No	North	M	21	1	1	6	1	36	3	5	16.48	0.869	0.773	3.1	4.59	3	0.201	0.431	5	6	0	0	0	0	0	25
5	kuo4	Inner Mongolia	No	North	M	21	1	1	6	2	21	3	5	11.62	0.836	0.759	3.13	3.45	4	-0.13	0.624	5	5	0	0	0	0	0	11
5	uaI4	Inner Mongolia	No	North	M	21	1	1	6	3	26	5	5	19.31	0.909	0.778	2.11	5.78	1	0.356	0.335	8	16	2	0	0	0	0	0
5	c@N1	Inner Mongolia	No	North	M	21	1	1	6	4	25	10	1	15.57	0.869	0.75	2.34	4.38	1	0.271	0.347	6	10	8	1	0	0	0	0
5	tu2	Inner Mongolia	No	North	M	21	1	1	6	5	35	4	1	17.99	0.858	0.775	2.34	6.83	3	0.337	0.576	8	17	2	0	0	0	0	8
5	iE1	Inner Mongolia	No	North	M	21	1	1	6	6	22	3	1	13.77	0.794	0.731	2.49	4.96	3	0.006	0.587	7	9	0	0	0	0	0	6
6	uaI4	Jiangxi	No	South	M	18	3	1	6	1	9	0	0	7.98	0.803	0.111	1.96	2.4	2	-0.356	0.427	6	2	0	0	0	0	0	1
6	c@N1	Jiangxi	No	South	M	18	3	1	6	2	8	1	0	6.65	0.552	0	2.08	2.22	2	-0.278	0.393	5	2	0	0	0	0	0	1
6	an3	Jiangxi	No	South	M	18	3	1	6	3	6	0	0	2.5	0.667	0	1.9	1.71	2	-0.286	0.143	1	2	2	0	0	0	0	1
6	iE1	Jiangxi	No	South	M	18	3	1	6	4	8	0	0	5.57	0.509	0	2.75	0.89	6	-0.317	0.259	3	0	0	0	0	0	0	5
6	tu2	Jiangxi	No	South	M	18	3	1	6	5	9	0	1	4.25	0.45	0	2.96	0.8	7	0	0.3	1	0	0	0	0	0	0	8
6	kuo4	Jiangxi	No	South	M	18	3	1	6	6	8	0	1	7.07	0.74	0	2.08	3.33	4	0	0.667	5	0	0	0	0	0	0	3
7	iE1	Fujian	No	South	M	18	2	1	6	1	9	0	0	9	0.962	0.333	1.4	5.4	1	0	0.95	9	0	0	0	0	0	0	0
7	kuo4	Fujian	No	South	M	18	2	1	6	2	10	0	0	9.32	0.898	0.3	1.58	4.18	1	0.015	0.679	8	2	0	0	0	0	0	0
7	an3	Fujian	No	South	M	18	2	1	6	3	3	0	0	2.5	0.833	0.667	1.33	2	1	-0.714	0.583	2	1	0	0	0	0	0	0
7	tu2	Fujian	No	South	M	18	2	1	6	4	8	0	0	8	0.938	0.25	1.33	5.33	1	0	0.952	8	0	0	0	0	0	0	0
7	uaI4	Fujian	No	South	M	18	2	1	6	5	9	1	0	9	0.966	0.3	1.31	6.2	1	0.073	0.961	9	0	0	0	0	0	0	0
7	c@N1	Fujian	No	South	M	18	2	1	6	6	8	0	0	8	0.958	0.125	1.19	6.44	1	-0.275	0.861	8	0	0	0	0	0	0	0
9	tu2	Chongqing	Yes	South	F	24	1	1	4	1	39	4	9	23	0.865	0.769	1.88	9.95	2	0.402	0.632	10	25	0	0	0	0	0	4
9	kuo4	Chongqing	Yes	South	F	24	1	1	4	2	28	4	5	16.16	0.831	0.757	2.71	4.14	2	0.496	0.468	4	13	6	2	0	0	0	3
9	uaI4	Chongqing	Yes	South	F	24	1	1	4	3	22	6	1	16.58	0.884	0.724	2.03	5.48	1	0.333	0.436	8	12	2	0	0	0	0	0
9	an3	Chongqing	Yes	South	F	24	1	1	4	4	25	3	0	19.15	0.9	0.75	1.82	7.85	2	0.219	0.49	9	15	0	0	0	0	0	1
9	iE1	Chongqing	Yes	South	F	24	1	1	4	5	20	12	1	6.33	0.752	0.758	2.77	3.24	4	-0.076	0.567	4	2	0	0	0	0	0	14
9	c@N1	Chongqing	Yes	South	F	24	1	1	4	6	34	12	0	25.86	0.904	0.761	1.86	8.97	2	0.505	0.647	12	19	0	0	0	0	0	3
10	iE1	Shanxi	Yes	North	F	19	1	1	7	1	26	13	0	17.56	0.913	0.769	2.01	6.44	1	0.444	0.358	7	13	6	0	0	0	0	0
10	an3	Shanxi	Yes	North	F	19	1	1	7	2	34	6	1	22.14	0.863	0.756	2.52	6.74	2	0.306	0.504	9	15	3	0	0	0	0	7
10	c@N1	Shanxi	Yes	North	F	19	1	1	7	3	44	8	9	30.8	0.878	0.754	2.21	9.02	3	0.318	0.661	11	23	1	0	0	0	0	9
10	uaI4	Shanxi	Yes	North	F	19	1	1	7	4	41	14	9	31.82	0.92	0.766	1.7	12.19	1	0.609	0.66	14	27	0	0	0	0	0	0
10	kuo4	Shanxi	Yes	North	F	19	1	1	7	5	40	11	1	30.16	0.909	0.75	1.94	9.66	1	0.63	0.534	13	25	2	0	0	0	0	0
10	tu2	Shanxi	Yes	North	F	19	1	1	7	6	42	5	1	25	0.865	0.771	1.88	10.65	2	0.467	0.652	11	27	0	0	0	0	0	4
11	iE1	Fujian	No	South	F	19	2	1	7	1	22	0	0	14.14	0.825	0.727	2.27	4.78	1	0.184	0.387	8	11	3	0	0	0	0	0
11	kuo4	Fujian	No	South	F	19	2	1	7	2	17	2	1	13.61	0.832	0.65	2.05	4	2	-0.092	0.432	8	7	0	0	0	0	0	2
11	uaI4	Fujian	No	South	F	19	2	1	7	3	10	0	0	6.3	0.799	0.7	2.24	2.55	3	-0.182	0.667	3	2	0	0	0	0	0	5
11	c@N1	Fujian	No	South	F	19	2	1	7	4	11	2	7	8.96	0.882	0.65	1.74	3.83	1	-0.074	0.333	5	6	0	0	0	0	0	0
11	an3	Fujian	No	South	F	19	2	1	7	5	16	1	0	10.47	0.794	0.706	2.38	3.41	2	0.047	0.4	5	7	1	0	0	0	0	3
11	tu2	Fujian	No	South	F	19	2	1	7	6	20	0	0	10.5	0.774	0.65	2.08	4.86	2	0.139	0.422	5	9	5	0	0	0	0	1
12	iE1	Liaoning/Shanghai	Other	Other	F	20	2	1	7	1	7	0	0	5.66	0.523	0.286	2	2.25	2	-0.527	0.35	5	1	0	0	0	0	0	1
12	an3	Liaoning/Shanghai	Other	Other	F	20	2	1	7	2	14	0	0	11.8	0.819	0.357	1.9	4	2	-0.129	0.543	8	5	0	0	0	0	0	1
12	uaI4	Liaoning/Shanghai	Other	Other	F	20	2	1	7	3	7	0	1	5.3	0.745	0.125	1.96	1.25	3	-0.25	0	2	1	0	0	0	0	0	4
12	kuo4	Liaoning/Shanghai	Other	Other	F	20	2	1	7	4	8	0	0	7	0.875	0	2.14	3.56	3	0	0.667	5	0	0	0	0	0	0	3
12	c@N1	Liaoning/Shanghai	Other	Other	F	20	2	1	7	5	8	0	0	7.66	0.789	0.125	1.69	3.78	2	-0.499	0.608	7	0	0	0	0	0	0	1
12	tu2	Liaoning/Shanghai	Other	Other	F	20	2	1	7	6	10	0	0	10	0.85	0.1	1.42	5.82	1	-0.205	0.863	10	0	0	0	0	0	0	0
13	c@N1	Guangdong	No	South	F	25	2	2	7	1	11	0	0	9.3	0.753	0.091	1.7	3.33	2	0.228	0.672	6	4	0	0	0	0	0	1
13	iE1	Guangdong	No	South	F	25	2	2	7	2	7	0	0	3.5	0.643	0.286	2.25	1.5	3	-0.357	0.292	3	0	0	0	0	0	0	4
13	kuo4	Guangdong	No	South	F	25	2	2	7	3	6	0	0	4.31	0.498	0.167	2.29	1.43	3	-0.402	0.238	2	2	0	0	0	0	0	2
13	an3	Guangdong	No	South	F	25	2	2	7	4	10	0	1	7.12	0.708	0	1.87	2.55	3	-0.044	0.418	2	4	0	0	0	0	0	4
13	tu2	Guangdong	No	South	F	25	2	2	7	5	14	0	1	9.32	0.611	0.267	2.11	3.07	3	0.015	0.416	6	6	0	0	0	0	0	2
13	uaI4	Guangdong	No	South	F	25	2	2	7	6	7	0	0	5.98	0.734	0.143	1.82	2.25	2	0	0.438	4	2	0	0	0	0	0	1
14	tu2	Fujian	No	South	F	19	1	1	6	1	9	0	0	6.98	0.869	0.667	1.84	3.2	1	0.086	0.3	4	5	0	0	0	0	0	0
14	iE1	Fujian	No	South	F	19	1	1	6	2	9	0	0	6	0.889	0.667	1.64	3.8	1	-0.522	0.467	4	4	1	0	0	0	0	0
14	an3	Fujian	No	South	F	19	1	1	6	3	9	0	0	6.66	0.832	0.667	1.73	3.4	2	-0.169	0.397	4	4	0	0	0	0	0	1
14	c@N1	Fujian	No	South	F	19	1	1	6	4	7	0	0	5.98	0.807	0.571	1.86	2.5	1	-0.304	0.312	4	3	0	0	0	0	0	0
14	kuo4	Fujian	No	South	F	19	1	1	6	5	13	0	0	10.21	0.871	0.692	2.07	3.57	2	0.11	0.255	5	6	0	0	0	0	0	2
14	uaI4	Fujian	No	South	F	19	1	1	6	6	4	0	0	3.32	0.745	0.25	1.9	1.2	2	-0.4	0	2	1	0	0	0	0	0	1
15	uaI4	Beijing	Yes	North	F	24	1	1	3	1	21	3	3	14.9	0.863	0.741	2.37	3.82	1	0.432	0.453	5	14	2	0	0	0	0	0
15	kuo4	Beijing	Yes	North	F	24	1	1	3	2	27	10	0	16.51	0.864	0.757	2.7	3.21	5	0.192	0.614	4	7	4	0	0	0	0	12
15	c@N1	Beijing	Yes	North	F	24	1	1	3	3	48	7	1	18.71	0.821	0.768	3.09	4.33	4	0.238	0.37	4	6	3	0	0	0	0	35
15	iE1	Beijing	Yes	North	F	24	1	1	3	4	21	2	1	10.63	0.75	0.792	2.55	4.09	2	0.378	0.427	5	7	3	0	0	0	0	6
15	tu2	Beijing	Yes	North	F	24	1	1	3	5	40	7	11	21.47	0.855	0.776	2.82	4.83	5	0.353	0.567	8	15	3	0	0	0	0	14
15	an3	Beijing	Yes	North	F	24	1	1	3	6	46	6	1	31.88	0.902	0.755	2.26	7.91	1	0.582	0.442	11	24	8	3	0	0	0	0
16	kuo4	Taiwan	No	South	F	21	2	1	7	1	18	1	3	14.26	0.907	0.727	1.64	6.53	1	0.103	0.523	7	11	0	0	0	0	0	0
16	c@N1	Taiwan	No	South	F	21	2	1	7	2	14	0	0	10.62	0.807	0.571	1.94	4	2	0.356	0.369	6	6	1	0	0	0	0	1
16	tu2	Taiwan	No	South	F	21	2	1	7	3	21	1	2	13.5	0.854	0.708	1.66	7.09	1	0.135	0.499	6	15	0	0	0	0	0	0
16	uaI4	Taiwan	No	South	F	21	2	1	7	4	17	0	1	11.41	0.917	0.611	1.98	4.44	1	0.08	0.439	2	8	6	1	0	0	0	0
16	iE1	Taiwan	No	South	F	21	2	1	7	5	18	2	4	14.6	0.915	0.75	1.64	6.42	1	0.043	0.482	8	10	0	0	0	0	0	0
16	an3	Taiwan	No	South	F	21	2	1	7	6	23	1	0	17.15	0.87	0.625	1.81	7.75	2	0.023	0.615	7	14	1	0	0	0	0	1
17	an3	Hunan	No	South	F	24	2	2	5	1	21	1	0	15.56	0.892	0.682	1.68	6.73	1	0.38	0.528	5	11	5	0	0	0	0	0
17	tu2	Hunan	No	South	F	24	2	2	5	2	23	0	4	15.5	0.87	0.704	1.65	8	1	0.14	0.523	8	15	0	0	0	0	0	0
17	uaI4	Hunan	No	South	F	24	2	2	5	3	18	1	0	13.58	0.875	0.632	1.67	5.89	1	0.098	0.546	5	10	3	0	0	0	0	0
17	kuo4	Hunan	No	South	F	24	2	2	5	4	17	0	0	13.26	0.9	0.647	1.68	5.44	1	0.181	0.488	6	9	2	0	0	0	0	0
17	iE1	Hunan	No	South	F	24	2	2	5	5	10	0	5	8.64	0.843	0.733	1.56	4.36	1	-0.217	0.494	6	4	0	0	0	0	0	0
17	c@N1	Hunan	No	South	F	24	2	2	5	6	23	2	0	17.22	0.918	0.72	1.67	7.5	1	0.245	0.53	6	15	2	0	0	0	0	0
18	an3	Hunan	No	South	F	25	3	2	7	1	17	0	1	11.77	0.701	0.222	2.22	3.56	3	-0.123	0.511	4	6	4	0	0	0	0	3
18	uaI4	Hunan	No	South	F	25	3	2	7	2	13	2	1	10.29	0.831	0.375	1.95	3.29	1	0.038	0.417	6	4	3	0	0	0	0	0
18	kuo4	Hunan	No	South	F	25	3	2	7	3	11	1	1	8.29	0.702	0.385	2.03	2.33	3	-0.504	0.25	4	2	0	0	0	0	0	5
18	tu2	Hunan	No	South	F	25	3	2	7	4	19	1	3	9.31	0.666	0.217	2.19	4	1	0.164	0.404	3	11	3	2	0	0	0	0
18	iE1	Hunan	No	South	F	25	3	2	7	5	15	2	0	6	0.706	0.353	2.08	3.38	2	-0.232	0.571	3	1	0	0	0	0	0	11
18	c@N1	Hunan	No	South	F	25	3	2	7	6	16	0	1	9.94	0.664	0.118	2.51	1.76	6	0.076	0.324	4	4	1	0	0	0	0	7
19	kuo4	Guangdong	No	South	F	31	2	3	9	1	13	1	8	9.62	0.816	0.318	1.82	4.71	2	0.087	0.555	5	7	0	0	0	0	0	1
19	iE1	Guangdong	No	South	F	31	2	3	9	2	9	2	2	5.96	0.749	0.538	2.04	3	2	-0.087	0.43	2	4	2	0	0	0	0	1
19	tu2	Guangdong	No	South	F	31	2	3	9	3	22	1	6	11.83	0.609	0.207	2.21	3.83	4	0.384	0.551	4	8	4	3	0	0	0	3
19	uaI4	Guangdong	No	South	F	31	2	3	9	4	18	3	5	13.4	0.81	0.192	2.17	3.58	1	-0.017	0.393	6	7	4	1	0	0	0	0
19	an3	Guangdong	No	South	F	31	2	3	9	5	24	1	3	12.69	0.746	0.214	2.55	2.88	3	0.352	0.188	1	1	2	2	2	4	7	3
19	c@N1	Guangdong	No	South	F	31	2	3	9	6	22	2	5	12.58	0.732	0.172	2.54	2.43	5	0.196	0.186	4	6	4	2	1	0	0	5
20	kuo4	Shandong	Yes	North	M	19	2	2	7	1	15	5	10	11.72	0.828	0.5	2.3	3.38	1	0.096	0.395	7	5	3	0	0	0	0	0
20	an3	Shandong	Yes	North	M	19	2	2	7	2	16	1	12	8.8	0.668	0.483	2.61	2.82	2	0.167	0.312	3	4	3	1	0	0	0	5
20	c@N1	Shandong	Yes	North	M	19	2	2	7	3	18	3	3	9.13	0.728	0.5	2.99	2	5	-0.174	0.239	5	2	1	0	0	0	0	10
20	iE1	Shandong	Yes	North	M	19	2	2	7	4	12	1	10	8.74	0.709	0.435	2.41	2.46	2	-0.214	0.151	6	3	1	0	0	0	0	2
20	tu2	Shandong	Yes	North	M	19	2	2	7	5	18	1	6	11.15	0.676	0.48	2.6	2.95	3	-0.213	0.239	6	7	0	0	0	0	0	5
20	uaI4	Shandong	Yes	North	M	19	2	2	7	6	11	3	8	9.05	0.832	0.5	2.2	2.33	1	-0.085	0.333	5	6	0	0	0	0	0	0
21	c@N1	Anhui	Yes	South	F	30	2	2	8	1	15	2	3	10.04	0.802	0.4	2.47	3	1	-0.239	0.265	5	5	4	1	0	0	0	0
