Order	Subject	Home	Guanhua	Guanhua.num	Geo	Geo.num	Sex	Sex.num	Age	Num_Chinese	Num_ProfLangs	Num_Langs	English	Canto	stim_order	stim_PY	stim_Pho	stim_SyStruct	stim_PYLen	stim_SegLen	stim_Freq	stim_HD	stim_PND	stim_NF	stim_C	resp_order	Response	resp_Key
1	2	Guangdong	No	0	South	0	F	1	25	3	3	4	8	10	t1	guo4	kuo4	CGV	3	3	5.05	1	22	4.29	0.55	0	guo4	kuo4
2	2	Guangdong	No	0	South	0	F	1	25	3	3	4	8	10	t1	guo4	kuo4	CGV	3	3	5.05	1	22	4.29	0.55	1	guan1	kuan1
3	2	Guangdong	No	0	South	0	F	1	25	3	3	4	8	10	t1	guo4	kuo4	CGV	3	3	5.05	1	22	4.29	0.55	2	guan3	kuan3
4	2	Guangdong	No	0	South	0	F	1	25	3	3	4	8	10	t1	guo4	kuo4	CGV	3	3	5.05	1	22	4.29	0.55	3	guo1	kuo1
5	2	Guangdong	No	0	South	0	F	1	25	3	3	4	8	10	t1	guo4	kuo4	CGV	3	3	5.05	1	22	4.29	0.55	4	guo3	kuo3
6	2	Guangdong	No	0	South	0	F	1	25	3	3	4	8	10	t1	guo4	kuo4	CGV	3	3	5.05	1	22	4.29	0.55	5	guo4	kuo4
7	2	Guangdong	No	0	South	0	F	1	25	3	3	4	8	10	t1	guo4	kuo4	CGV	3	3	5.05	1	22	4.29	0.55	6	cuo4	cuo4
8	2	Guangdong	No	0	South	0	F	1	25	3	3	4	8	10	t1	guo4	kuo4	CGV	3	3	5.05	1	22	4.29	0.55	7	gun3	kun3
9	2	Guangdong	No	0	South	0	F	1	25	3	3	4	8	10	t1	guo4	kuo4	CGV	3	3	5.05	1	22	4.29	0.55	8	zuo4	zuo4
10	2	Guangdong	No	0	South	0	F	1	25	3	3	4	8	10	t2	du2	tu2	CV	2	2	3.81	8	20	4.81	0.44	0	du2	tu2
11	2	Guangdong	No	0	South	0	F	1	25	3	3	4	8	10	t2	du2	tu2	CV	2	2	3.81	8	20	4.81	0.44	1	du3	tu3
12	2	Guangdong	No	0	South	0	F	1	25	3	3	4	8	10	t2	du2	tu2	CV	2	2	3.81	8	20	4.81	0.44	2	du4	tu4
13	2	Guangdong	No	0	South	0	F	1	25	3	3	4	8	10	t2	du2	tu2	CV	2	2	3.81	8	20	4.81	0.44	3	zu2	zu2
14	2	Guangdong	No	0	South	0	F	1	25	3	3	4	8	10	t2	du2	tu2	CV	2	2	3.81	8	20	4.81	0.44	4	cu4	cu4
15	2	Guangdong	No	0	South	0	F	1	25	3	3	4	8	10	t2	du2	tu2	CV	2	2	3.81	8	20	4.81	0.44	5	gu4	ku4
16	2	Guangdong	No	0	South	0	F	1	25	3	3	4	8	10	t2	du2	tu2	CV	2	2	3.81	8	20	4.81	0.44	6	shu4	Su4
